ID,Education,Income,Marital_Status,Occupation,Children,Region,Gender
9740,Master's Degree,High,Married,Senior Manager,0,North,Male
9741,Bachelor's Degree,Low,Single,Manager,0,Central,Female
9742,Master's Degree,Medium,Single,Senior Manager,1,East,Female
9743,Master's Degree,Low,Married,Senior Manager,0,South,Male
9744,Bachelor's Degree,High,Married,Manager,0,East,Female
9745,High School,Low,Single,Student,0,South,Female
9746,Master's Degree,High,Married,Senior Manager,2,Central,Female
9747,Bachelor's Degree,Low,Married,Manager,2,West,Male
9748,Some College,Medium,Single,Entry Level,0,Central,Female
9749,Master's Degree,Medium,Married,Senior Manager,0,South,Female
9750,Master's Degree,Low,Married,Senior Manager,0,South,Male
9751,High School,Medium,Single,Student,0,North,Female
9752,Master's Degree,Medium,Single,Senior Manager,1,South,Male
9753,Bachelor's Degree,Low,Single,Manager,0,North,Male
9754,Bachelor's Degree,Medium,Married,Manager,1,East,Male
9755,High School,Low,Single,Student,0,East,Female
9756,Bachelor's Degree,High,Divorced,Manager,2,North,Female
9757,Bachelor's Degree,Low,Married,Manager,2,North,Male
9758,Some College,Low,Single,Entry Level,0,Central,Male
9759,Master's Degree,Low,Married,Senior Manager,0,North,Female
9760,High School,Medium,Single,Student,0,South,Male
9761,Bachelor's Degree,Medium,Single,Manager,2,Central,Female
9762,Master's Degree,High,Married,Senior Manager,1,South,Male
9763,Master's Degree,Medium,Married,Senior Manager,1,East,Female
9764,High School,Low,Single,Student,0,South,Male
9765,Bachelor's Degree,Medium,Single,Manager,0,East,Female
9766,Master's Degree,Medium,Married,Senior Manager,1,North,Female
9767,Bachelor's Degree,Low,Single,Manager,0,South,Female
9768,Master's Degree,Medium,Single,Senior Manager,3,South,Male
9769,Bachelor's Degree,Low,Married,Manager,0,North,Male
9770,Bachelor's Degree,Low,Single,Manager,3,East,Male
9771,High School,Low,Single,Student,0,North,Male
9772,Master's Degree,Medium,Married,Senior Manager,1,East,Male
9773,Master's Degree,High,Married,Senior Manager,1,North,Female
9774,Master's Degree,Low,Single,Senior Manager,2,West,Male
9775,Bachelor's Degree,High,Single,Manager,1,East,Female
9776,Bachelor's Degree,Low,Single,Manager,0,North,Male
9777,Master's Degree,Low,Single,Senior Manager,2,North,Female
9778,Bachelor's Degree,Medium,Single,Manager,1,North,Male
9779,Bachelor's Degree,Medium,Married,Manager,1,East,Male
9780,High School,Low,Single,Student,0,North,Male
9781,Master's Degree,High,Single,Senior Manager,1,Central,Female
9782,Bachelor's Degree,Medium,Single,Manager,0,North,Female
9783,Some College,Low,Single,Entry Level,0,South,Female
9784,Bachelor's Degree,Medium,Married,Manager,0,West,Male
9785,Master's Degree,Medium,Single,Senior Manager,2,Central,Female
9786,Bachelor's Degree,Low,Single,Manager,3,North,Female
9787,Master's Degree,High,Married,Senior Manager,0,South,Male
9788,Bachelor's Degree,Medium,Married,Manager,3,North,Male
9789,Some College,Low,Single,Entry Level,0,North,Male
9790,Some College,Medium,Single,Entry Level,0,West,Female
9791,Bachelor's Degree,Medium,Single,Manager,1,West,Female
9792,Master's Degree,Low,Married,Senior Manager,0,West,Male
9793,Bachelor's Degree,High,Married,Manager,1,West,Male
9794,Bachelor's Degree,Low,Married,Manager,3,West,Female
9795,Master's Degree,High,Divorced,Senior Manager,2,West,Male
9796,Bachelor's Degree,Low,Married,Manager,0,South,Male
9797,Bachelor's Degree,Medium,Married,Manager,0,Central,Female
9798,Master's Degree,Medium,Married,Senior Manager,0,South,Male
9799,Master's Degree,Low,Single,Senior Manager,2,Central,Female
9800,Master's Degree,High,Married,Senior Manager,0,South,Female
9801,Bachelor's Degree,Medium,Married,Manager,3,West,Male
9802,Master's Degree,Medium,Single,Senior Manager,3,West,Male
9803,Master's Degree,Low,Married,Senior Manager,1,South,Female
9804,Bachelor's Degree,Low,Married,Manager,1,South,Female
9805,Master's Degree,High,Married,Senior Manager,1,West,Female
9806,Master's Degree,Low,Married,Senior Manager,0,South,Female
9807,Master's Degree,High,Married,Senior Manager,0,Central,Female
9808,Bachelor's Degree,Low,Married,Manager,0,South,Male
9809,Master's Degree,Medium,Married,Senior Manager,1,East,Male
9810,Master's Degree,Low,Married,Senior Manager,2,East,Male
9811,Bachelor's Degree,Medium,Single,Manager,0,West,Male
9812,Some College,Low,Single,Entry Level,0,South,Female
9813,Bachelor's Degree,High,Married,Manager,2,South,Male
9814,Master's Degree,Low,Married,Senior Manager,0,South,Female
9815,Master's Degree,Medium,Married,Senior Manager,2,South,Male
9816,Master's Degree,Low,Married,Senior Manager,0,South,Male
9817,Master's Degree,Low,Married,Senior Manager,1,South,Female
9818,Some College,Low,Single,Entry Level,0,South,Female
9819,Bachelor's Degree,High,Single,Manager,3,North,Male
9820,Master's Degree,Low,Married,Senior Manager,1,Central,Female
9821,Master's Degree,Medium,Single,Senior Manager,2,West,Female
9822,Bachelor's Degree,Low,Married,Manager,1,West,Male
9823,Bachelor's Degree,Medium,Single,Manager,1,East,Female
9824,Master's Degree,Low,Married,Senior Manager,2,South,Male
9825,Master's Degree,Medium,Single,Senior Manager,3,South,Male
9826,Bachelor's Degree,Low,Single,Manager,0,Central,Female
9827,High School,Low,Single,Student,0,East,Female
9828,Bachelor's Degree,Low,Single,Manager,3,Central,Female
9829,Bachelor's Degree,Low,Married,Manager,1,Central,Female
9830,Bachelor's Degree,Medium,Married,Manager,0,North,Male
9831,Master's Degree,High,Married,Senior Manager,1,Central,Female
9832,Some College,Low,Single,Entry Level,0,East,Female
9833,High School,Low,Single,Student,0,South,Male
9834,Master's Degree,Low,Single,Senior Manager,0,East,Female
9835,Master's Degree,Low,Married,Senior Manager,1,Central,Female
9836,Bachelor's Degree,Medium,Single,Manager,0,West,Male
9837,Bachelor's Degree,Medium,Married,Manager,0,South,Female
9838,Bachelor's Degree,Low,Married,Manager,3,South,Female
9839,Bachelor's Degree,Low,Married,Manager,0,East,Female
9840,Master's Degree,Low,Single,Senior Manager,1,East,Female
9841,High School,Medium,Single,Student,0,North,Female
9842,Bachelor's Degree,Low,Single,Manager,3,West,Male
9843,Master's Degree,Low,Single,Senior Manager,2,Central,Female
9844,Some College,Low,Single,Entry Level,0,Central,Female
9845,Master's Degree,High,Married,Senior Manager,0,East,Female
9846,Bachelor's Degree,High,Single,Manager,2,West,Female
9847,Master's Degree,High,Single,Senior Manager,0,West,Female
9848,High School,Low,Single,Student,0,Central,Female
9849,Bachelor's Degree,Medium,Married,Manager,0,Central,Male
9850,Master's Degree,Low,Married,Senior Manager,2,North,Female
9851,Bachelor's Degree,Low,Married,Manager,2,West,Male
9852,Bachelor's Degree,Low,Married,Manager,0,North,Male
9853,Master's Degree,High,Single,Senior Manager,0,West,Female
9854,Bachelor's Degree,High,Married,Manager,0,North,Female
9855,High School,Low,Single,Student,0,East,Male
9856,Master's Degree,Low,Single,Senior Manager,1,North,Female
9857,Master's Degree,Low,Married,Senior Manager,1,South,Male
9858,Bachelor's Degree,Low,Married,Manager,1,North,Female
9859,Some College,Low,Single,Entry Level,0,Central,Female
9860,Bachelor's Degree,High,Single,Manager,2,West,Male
9861,Master's Degree,High,Single,Senior Manager,1,Central,Male
9862,Master's Degree,Medium,Married,Senior Manager,0,East,Female
9863,Master's Degree,High,Married,Senior Manager,1,Central,Female
9864,Bachelor's Degree,High,Single,Manager,2,West,Male
9865,Master's Degree,Medium,Single,Senior Manager,3,North,Female
9866,Bachelor's Degree,Medium,Married,Manager,1,West,Male
9867,Some College,Low,Single,Entry Level,0,Central,Female
9868,Bachelor's Degree,High,Married,Manager,3,South,Male
9869,Master's Degree,Low,Single,Senior Manager,0,Central,Female
9870,Some College,Medium,Single,Entry Level,0,South,Male
9871,Bachelor's Degree,Low,Married,Manager,0,West,Female
9872,Master's Degree,Low,Single,Senior Manager,2,West,Female
9873,Bachelor's Degree,Low,Married,Manager,1,South,Male
9874,Some College,Low,Single,Entry Level,0,East,Male
9875,Bachelor's Degree,Low,Married,Manager,0,South,Male
9876,Bachelor's Degree,Medium,Married,Manager,3,South,Male
9877,Bachelor's Degree,Low,Single,Manager,1,South,Female
9878,Master's Degree,High,Single,Senior Manager,3,South,Female
9879,Master's Degree,Low,Married,Senior Manager,0,South,Male
9880,High School,Low,Single,Student,0,North,Male
9881,High School,Low,Single,Student,0,North,Female
9882,Master's Degree,Low,Married,Senior Manager,1,East,Female
9883,Bachelor's Degree,Low,Married,Manager,1,South,Male
9884,Bachelor's Degree,Low,Single,Manager,1,South,Male
9885,Bachelor's Degree,Low,Married,Manager,1,South,Female
9886,Master's Degree,Low,Married,Senior Manager,3,East,Male
9887,Bachelor's Degree,Low,Single,Manager,0,West,Male
9888,Master's Degree,Medium,Married,Senior Manager,2,West,Female
9889,High School,Low,Single,Student,0,North,Female
9890,Master's Degree,High,Married,Senior Manager,0,South,Male
9891,High School,Low,Single,Student,0,Central,Female
9892,Some College,Medium,Single,Entry Level,0,North,Female
9893,Some College,Low,Single,Entry Level,0,Central,Male
9894,Bachelor's Degree,High,Married,Manager,2,Central,Male
9895,High School,Low,Single,Student,0,East,Female
9896,High School,High,Single,Student,0,East,Female
9897,Bachelor's Degree,Low,Married,Manager,0,North,Male
9898,Bachelor's Degree,Low,Single,Manager,0,Central,Female
9899,Bachelor's Degree,High,Married,Manager,0,East,Male
9900,Bachelor's Degree,Medium,Single,Manager,0,East,Male
9901,Master's Degree,Low,Single,Senior Manager,1,Central,Male
9902,Bachelor's Degree,Medium,Divorced,Manager,0,North,Female
9903,Bachelor's Degree,High,Divorced,Manager,0,North,Female
9904,Master's Degree,High,Married,Senior Manager,0,East,Female
9905,Bachelor's Degree,Low,Married,Manager,0,North,Female
9906,High School,Low,Single,Student,0,West,Female
9907,Bachelor's Degree,Medium,Married,Manager,1,West,Female
9908,Master's Degree,Low,Married,Senior Manager,0,Central,Male
9909,Bachelor's Degree,Low,Married,Manager,1,West,Male
9910,Some College,Low,Single,Entry Level,0,North,Male
9911,Master's Degree,Low,Married,Senior Manager,0,West,Female
9912,Master's Degree,High,Divorced,Senior Manager,0,West,Female
9913,Bachelor's Degree,High,Single,Manager,2,North,Female
9914,Master's Degree,Medium,Single,Senior Manager,2,North,Male
9915,Bachelor's Degree,High,Married,Manager,1,South,Female
9916,Bachelor's Degree,High,Single,Manager,2,North,Male
9917,High School,Medium,Single,Student,0,Central,Female
9918,Master's Degree,Medium,Married,Senior Manager,0,Central,Female
9919,Master's Degree,Low,Married,Senior Manager,1,Central,Male
9920,High School,Low,Single,Student,0,Central,Male
9921,Master's Degree,Low,Married,Senior Manager,0,South,Male
9922,Master's Degree,Low,Single,Senior Manager,0,Central,Male
9923,Master's Degree,Medium,Single,Senior Manager,3,South,Male
9924,Bachelor's Degree,Low,Married,Manager,3,South,Female
9925,Master's Degree,High,Single,Senior Manager,0,East,Male
9926,Bachelor's Degree,Low,Married,Manager,0,South,Male
9927,Some College,Medium,Single,Entry Level,0,Central,Male
9928,Bachelor's Degree,Low,Married,Manager,2,West,Female
9929,Bachelor's Degree,Low,Married,Manager,0,East,Male
9930,Bachelor's Degree,Low,Single,Manager,0,West,Female
9931,Master's Degree,Medium,Single,Senior Manager,1,West,Male
9932,Bachelor's Degree,Low,Single,Manager,0,North,Female
9933,Bachelor's Degree,Low,Married,Manager,1,North,Male
9934,Master's Degree,Medium,Single,Senior Manager,2,East,Female
9935,Master's Degree,High,Single,Senior Manager,2,North,Female
9936,Bachelor's Degree,Low,Single,Manager,1,North,Female
9937,High School,Low,Single,Student,0,East,Female
9938,Bachelor's Degree,Low,Single,Manager,1,South,Male
9939,Bachelor's Degree,Low,Single,Manager,1,West,Male
9940,Master's Degree,High,Married,Senior Manager,3,South,Male
9941,Master's Degree,Low,Single,Senior Manager,3,North,Female
9942,Master's Degree,Low,Married,Senior Manager,1,West,Male
9943,Master's Degree,High,Single,Senior Manager,1,Central,Male
9944,Bachelor's Degree,High,Married,Manager,3,South,Male
9945,Master's Degree,High,Single,Senior Manager,3,North,Female
9946,Master's Degree,Low,Married,Senior Manager,2,South,Male
9947,Bachelor's Degree,High,Married,Manager,1,North,Female
9948,High School,Low,Single,Student,0,Central,Male
9949,Master's Degree,Low,Married,Senior Manager,1,Central,Male
9950,Some College,Low,Single,Entry Level,0,West,Female
9951,High School,Low,Single,Student,0,West,Male
9952,Master's Degree,Low,Single,Senior Manager,3,Central,Female
9953,Master's Degree,Low,Single,Senior Manager,1,North,Male
9954,Master's Degree,Low,Married,Senior Manager,0,South,Female
9955,Bachelor's Degree,High,Single,Manager,3,West,Male
9956,Master's Degree,Low,Divorced,Senior Manager,0,West,Female
9957,Bachelor's Degree,Low,Married,Manager,2,Central,Male
9958,Master's Degree,High,Single,Senior Manager,1,West,Female
9959,Bachelor's Degree,Low,Married,Manager,1,North,Female
9960,Bachelor's Degree,Low,Married,Manager,2,South,Female
9961,Master's Degree,Medium,Married,Senior Manager,0,South,Female
9962,Master's Degree,Low,Married,Senior Manager,3,West,Female
9963,Bachelor's Degree,Low,Married,Manager,1,South,Male
9964,Bachelor's Degree,Low,Divorced,Manager,0,South,Male
9965,Some College,Low,Single,Entry Level,0,South,Male
9966,High School,Low,Single,Student,0,West,Male
9967,High School,Medium,Single,Student,0,West,Female
9968,High School,Low,Single,Student,0,South,Female
9969,Bachelor's Degree,Medium,Single,Manager,0,East,Male
9970,Master's Degree,Medium,Married,Senior Manager,2,South,Male
9971,Bachelor's Degree,Low,Married,Manager,2,South,Male
9972,Bachelor's Degree,Low,Single,Manager,0,Central,Female
9973,Bachelor's Degree,Low,Single,Manager,1,East,Male
9974,Bachelor's Degree,Low,Married,Manager,3,Central,Female
9975,Some College,Low,Single,Entry Level,0,Central,Male
9976,Master's Degree,Low,Single,Senior Manager,0,West,Female
9977,Bachelor's Degree,Low,Divorced,Manager,2,East,Female
9978,Bachelor's Degree,High,Single,Manager,1,East,Male
9979,Some College,Medium,Single,Entry Level,0,West,Male
9980,Some College,Low,Single,Entry Level,0,Central,Male
9981,Master's Degree,High,Single,Senior Manager,0,South,Female
9982,Bachelor's Degree,Low,Divorced,Manager,0,East,Female
9983,Some College,Low,Single,Entry Level,0,West,Female
9984,Bachelor's Degree,High,Married,Manager,2,North,Male
9985,Master's Degree,Low,Married,Senior Manager,1,East,Male
9986,Bachelor's Degree,Low,Married,Manager,2,Central,Female
9987,Master's Degree,Low,Married,Senior Manager,0,Central,Male
9988,Bachelor's Degree,Low,Married,Manager,2,West,Female
9989,Bachelor's Degree,Medium,Single,Manager,2,West,Male
9990,Master's Degree,Medium,Single,Senior Manager,2,South,Female
9991,Bachelor's Degree,Medium,Married,Manager,1,North,Male
9992,High School,High,Single,Student,0,Central,Female
9993,Master's Degree,Medium,Divorced,Senior Manager,1,South,Female
9994,Bachelor's Degree,Medium,Divorced,Manager,3,East,Female
9995,Master's Degree,Low,Single,Senior Manager,3,South,Female
9996,High School,Low,Single,Student,0,South,Female
9997,Master's Degree,Low,Married,Senior Manager,0,North,Female
9998,Master's Degree,Low,Married,Senior Manager,1,North,Female
9999,Bachelor's Degree,Medium,Married,Manager,0,North,Male
10000,Bachelor's Degree,Medium,Married,Manager,0,West,Female
10001,Master's Degree,Medium,Married,Senior Manager,0,South,Female
10002,Bachelor's Degree,Low,Divorced,Manager,1,North,Female
10003,Master's Degree,Low,Married,Senior Manager,1,East,Female
10004,Master's Degree,Medium,Single,Senior Manager,0,West,Male
10005,Bachelor's Degree,High,Single,Manager,1,Central,Female
10006,Master's Degree,Low,Married,Senior Manager,1,North,Male
10007,Master's Degree,Low,Married,Senior Manager,0,North,Male
10008,Bachelor's Degree,Low,Married,Manager,0,Central,Male
10009,Bachelor's Degree,High,Single,Manager,1,North,Male
10010,Bachelor's Degree,Medium,Married,Manager,1,North,Female
10011,Bachelor's Degree,Medium,Single,Manager,2,North,Female
10012,High School,High,Single,Student,0,West,Female
10013,Bachelor's Degree,Low,Married,Manager,2,North,Female
10014,Bachelor's Degree,Low,Single,Manager,2,North,Male
10015,Bachelor's Degree,Low,Married,Manager,0,Central,Male
10016,Bachelor's Degree,Low,Single,Manager,0,Central,Male
10017,Master's Degree,High,Single,Senior Manager,0,North,Male
10018,Bachelor's Degree,High,Married,Manager,0,Central,Female
10019,Master's Degree,High,Married,Senior Manager,1,East,Male
10020,Master's Degree,High,Married,Senior Manager,0,South,Male
10021,Bachelor's Degree,Medium,Divorced,Manager,3,South,Male
10022,Bachelor's Degree,Low,Married,Manager,1,South,Female
10023,Bachelor's Degree,Low,Married,Manager,0,West,Male
10024,Some College,Low,Single,Entry Level,0,West,Female
10025,High School,Low,Single,Student,0,East,Male
10026,High School,Low,Single,Student,0,North,Female
10027,Master's Degree,Medium,Married,Senior Manager,0,North,Female
10028,Master's Degree,High,Divorced,Senior Manager,1,North,Male
10029,Some College,Low,Single,Entry Level,0,North,Female
10030,Bachelor's Degree,Low,Married,Manager,1,North,Male
10031,Bachelor's Degree,High,Married,Manager,3,Central,Male
10032,Master's Degree,Medium,Married,Senior Manager,2,West,Male
10033,High School,Medium,Single,Student,0,North,Female
10034,High School,Low,Single,Student,0,South,Male
10035,Master's Degree,Low,Married,Senior Manager,1,West,Male
10036,Bachelor's Degree,High,Married,Manager,1,North,Female
10037,Bachelor's Degree,Low,Married,Manager,1,North,Male
10038,Master's Degree,High,Married,Senior Manager,0,Central,Male
10039,Master's Degree,Medium,Married,Senior Manager,0,East,Male
10040,Some College,Low,Single,Entry Level,0,North,Female
10041,Bachelor's Degree,Medium,Divorced,Manager,2,West,Male
10042,Bachelor's Degree,Low,Single,Manager,2,North,Female
10043,Some College,Low,Single,Entry Level,0,Central,Female
10044,High School,Low,Single,Student,0,West,Female
10045,Bachelor's Degree,Low,Married,Manager,0,Central,Female
10046,Some College,Low,Single,Entry Level,0,South,Male
10047,Master's Degree,Medium,Married,Senior Manager,0,South,Female
10048,Master's Degree,Low,Divorced,Senior Manager,0,West,Male
10049,Master's Degree,Low,Married,Senior Manager,1,East,Female
10050,Master's Degree,Low,Married,Senior Manager,1,West,Male
10051,Master's Degree,Low,Single,Senior Manager,0,North,Male
10052,Bachelor's Degree,High,Married,Manager,1,East,Female
10053,Bachelor's Degree,High,Single,Manager,0,South,Male
10054,Master's Degree,Low,Single,Senior Manager,0,East,Male
10055,Bachelor's Degree,High,Married,Manager,0,South,Female
10056,Master's Degree,Low,Married,Senior Manager,0,South,Female
10057,Master's Degree,Low,Married,Senior Manager,2,West,Female
10058,Master's Degree,High,Divorced,Senior Manager,0,North,Male
10059,Master's Degree,High,Single,Senior Manager,0,East,Female
10060,Master's Degree,Low,Single,Senior Manager,0,Central,Male
10061,Bachelor's Degree,High,Married,Manager,0,South,Female
10062,Master's Degree,High,Single,Senior Manager,2,North,Male
10063,Bachelor's Degree,Low,Single,Manager,0,South,Male
10064,Bachelor's Degree,High,Single,Manager,1,Central,Female
10065,Bachelor's Degree,Low,Single,Manager,3,North,Female
10066,Bachelor's Degree,Low,Married,Manager,2,North,Male
10067,Bachelor's Degree,Medium,Married,Manager,3,West,Female
10068,Bachelor's Degree,High,Single,Manager,0,East,Female
10069,Bachelor's Degree,Low,Married,Manager,1,South,Male
10070,Master's Degree,Low,Single,Senior Manager,0,West,Male
10071,Master's Degree,Medium,Divorced,Senior Manager,0,Central,Female
10072,High School,Medium,Single,Student,0,West,Female
10073,Bachelor's Degree,Low,Single,Manager,3,South,Male
10074,Some College,Low,Single,Entry Level,0,North,Female
10075,High School,Medium,Single,Student,0,East,Female
10076,Bachelor's Degree,Medium,Married,Manager,2,West,Male
10077,Master's Degree,High,Married,Senior Manager,0,Central,Male
10078,Some College,Low,Single,Entry Level,0,South,Male
10079,Bachelor's Degree,Medium,Married,Manager,1,East,Male
10080,High School,Low,Single,Student,0,West,Female
10081,Bachelor's Degree,Low,Single,Manager,3,Central,Male
10082,Master's Degree,High,Married,Senior Manager,3,North,Male
10083,Master's Degree,Low,Married,Senior Manager,0,Central,Male
10084,Some College,Low,Single,Entry Level,0,West,Female
10085,Bachelor's Degree,Low,Single,Manager,1,South,Female
10086,Master's Degree,High,Divorced,Senior Manager,0,South,Male
10087,Master's Degree,Low,Married,Senior Manager,0,East,Male
10088,Bachelor's Degree,Low,Single,Manager,0,Central,Male
10089,Master's Degree,High,Single,Senior Manager,1,North,Female
10090,Master's Degree,High,Single,Senior Manager,0,West,Female
10091,Bachelor's Degree,Medium,Single,Manager,0,Central,Female
10092,Bachelor's Degree,Low,Married,Manager,0,Central,Male
10093,Bachelor's Degree,High,Single,Manager,2,South,Male
10094,Bachelor's Degree,Medium,Married,Manager,1,West,Male
10095,High School,Low,Single,Student,0,South,Male
10096,Bachelor's Degree,High,Married,Manager,0,Central,Male
10097,Master's Degree,High,Single,Senior Manager,3,East,Female
10098,Bachelor's Degree,High,Divorced,Manager,0,East,Female
10099,Bachelor's Degree,Low,Married,Manager,1,West,Male
10100,Master's Degree,Low,Married,Senior Manager,1,Central,Female
10101,Master's Degree,High,Married,Senior Manager,3,South,Female
10102,Master's Degree,Low,Married,Senior Manager,0,Central,Male
10103,Master's Degree,Low,Single,Senior Manager,3,East,Female
10104,Master's Degree,Medium,Divorced,Senior Manager,2,North,Male
10105,Bachelor's Degree,Low,Married,Manager,1,Central,Male
10106,Master's Degree,High,Divorced,Senior Manager,1,North,Female
10107,Some College,Low,Single,Entry Level,0,North,Female
10108,Master's Degree,Low,Single,Senior Manager,0,East,Male
10109,Bachelor's Degree,Low,Single,Manager,0,West,Male
10110,Some College,Low,Single,Entry Level,0,North,Male
10111,Bachelor's Degree,High,Single,Manager,1,South,Male
10112,Bachelor's Degree,Low,Married,Manager,0,South,Male
10113,Master's Degree,Medium,Single,Senior Manager,0,East,Male
10114,Master's Degree,Medium,Married,Senior Manager,2,South,Male
10115,Bachelor's Degree,Low,Married,Manager,2,East,Female
10116,Master's Degree,High,Single,Senior Manager,3,West,Female
10117,Bachelor's Degree,Medium,Single,Manager,2,South,Male
10118,Bachelor's Degree,Low,Married,Manager,2,East,Male
10119,Bachelor's Degree,Medium,Married,Manager,3,West,Male
10120,Master's Degree,Low,Married,Senior Manager,0,East,Female
10121,Master's Degree,Low,Single,Senior Manager,2,North,Male
10122,Master's Degree,Low,Married,Senior Manager,1,South,Female
10123,Bachelor's Degree,High,Single,Manager,2,South,Male
10124,Master's Degree,Medium,Married,Senior Manager,0,East,Male
10125,Master's Degree,Low,Married,Senior Manager,0,Central,Female
10126,Bachelor's Degree,Low,Married,Manager,0,West,Male
10127,Bachelor's Degree,High,Married,Manager,0,Central,Female
10128,Bachelor's Degree,Medium,Married,Manager,0,West,Female
10129,Master's Degree,Low,Single,Senior Manager,0,East,Female
10130,Some College,Low,Single,Entry Level,0,West,Male
10131,Master's Degree,Medium,Married,Senior Manager,1,North,Female
10132,Bachelor's Degree,High,Single,Manager,0,West,Male
10133,Some College,Low,Single,Entry Level,0,West,Female
10134,Master's Degree,High,Married,Senior Manager,2,East,Female
10135,Bachelor's Degree,Low,Single,Manager,2,North,Female
10136,Bachelor's Degree,Low,Married,Manager,0,Central,Male
10137,Master's Degree,Medium,Single,Senior Manager,2,North,Female
10138,Bachelor's Degree,Low,Married,Manager,0,North,Male
10139,Master's Degree,Medium,Married,Senior Manager,0,East,Female
10140,Master's Degree,High,Married,Senior Manager,0,North,Female
10141,Master's Degree,Low,Married,Senior Manager,3,Central,Female
10142,Master's Degree,Low,Married,Senior Manager,0,East,Male
10143,Master's Degree,Low,Married,Senior Manager,0,South,Male
10144,Some College,Low,Single,Entry Level,0,West,Female
10145,Master's Degree,Medium,Divorced,Senior Manager,3,Central,Male
10146,Master's Degree,Medium,Married,Senior Manager,0,West,Female
10147,Bachelor's Degree,High,Married,Manager,3,South,Male
10148,Bachelor's Degree,High,Single,Manager,3,West,Male
10149,Bachelor's Degree,Low,Divorced,Manager,0,North,Female
10150,Some College,Medium,Single,Entry Level,0,North,Male
10151,Master's Degree,Low,Divorced,Senior Manager,3,North,Male
10152,Master's Degree,Medium,Single,Senior Manager,0,West,Female
10153,Master's Degree,Medium,Married,Senior Manager,3,South,Female
10154,Master's Degree,High,Single,Senior Manager,0,West,Male
10155,Bachelor's Degree,Low,Married,Manager,1,East,Male
10156,Master's Degree,Low,Married,Senior Manager,2,East,Female
10157,High School,Medium,Single,Student,0,Central,Female
10158,Master's Degree,Low,Divorced,Senior Manager,0,North,Male
10159,Bachelor's Degree,High,Single,Manager,0,East,Female
10160,Master's Degree,Low,Single,Senior Manager,2,East,Male
10161,High School,High,Single,Student,0,North,Male
10162,Bachelor's Degree,Low,Single,Manager,2,Central,Male
10163,High School,High,Single,Student,0,West,Male
10164,Bachelor's Degree,Medium,Married,Manager,0,East,Male
10165,Master's Degree,Low,Married,Senior Manager,1,Central,Female
10166,Bachelor's Degree,Low,Single,Manager,2,South,Male
10167,Master's Degree,High,Married,Senior Manager,1,Central,Female
10168,Master's Degree,High,Single,Senior Manager,1,East,Male
10169,Master's Degree,High,Married,Senior Manager,2,East,Male
10170,Master's Degree,Medium,Married,Senior Manager,1,West,Female
10171,Bachelor's Degree,Medium,Single,Manager,2,South,Female
10172,Some College,Low,Single,Entry Level,0,East,Female
10173,Bachelor's Degree,Medium,Married,Manager,0,South,Male
10174,Bachelor's Degree,Low,Divorced,Manager,3,North,Female
10175,Bachelor's Degree,Low,Married,Manager,1,Central,Female
10176,Some College,Low,Single,Entry Level,0,South,Female
10177,Master's Degree,Low,Married,Senior Manager,1,East,Male
10178,Master's Degree,Low,Married,Senior Manager,0,Central,Female
10179,Master's Degree,Low,Married,Senior Manager,0,East,Male
10180,High School,Low,Single,Student,0,South,Female
10181,Master's Degree,Medium,Married,Senior Manager,1,West,Male
10182,Bachelor's Degree,High,Married,Manager,2,West,Female
10183,High School,Low,Single,Student,0,North,Female
10184,Master's Degree,Medium,Single,Senior Manager,1,South,Male
10185,Bachelor's Degree,High,Married,Manager,1,North,Female
10186,Master's Degree,Low,Married,Senior Manager,0,North,Male
10187,Master's Degree,Medium,Married,Senior Manager,0,East,Male
10188,Master's Degree,Medium,Married,Senior Manager,0,Central,Male
10189,Bachelor's Degree,High,Married,Manager,2,West,Male
10190,Bachelor's Degree,Low,Single,Manager,1,Central,Female
10191,Master's Degree,Low,Single,Senior Manager,2,West,Female
10192,Bachelor's Degree,High,Single,Manager,3,North,Female
10193,Bachelor's Degree,Medium,Single,Manager,0,South,Female
10194,Master's Degree,Medium,Single,Senior Manager,2,Central,Female
10195,Bachelor's Degree,Low,Married,Manager,0,South,Male
10196,Bachelor's Degree,Low,Married,Manager,1,North,Female
10197,Master's Degree,High,Married,Senior Manager,1,East,Male
10198,Some College,Low,Single,Entry Level,0,East,Female
10199,Master's Degree,Medium,Single,Senior Manager,2,East,Male
10200,Some College,Low,Single,Entry Level,0,East,Female
10201,Bachelor's Degree,Low,Married,Manager,0,Central,Female
10202,Master's Degree,High,Married,Senior Manager,1,North,Male
10203,Bachelor's Degree,Low,Single,Manager,0,West,Female
10204,Some College,Low,Single,Entry Level,0,North,Male
10205,Bachelor's Degree,High,Single,Manager,2,South,Female
10206,High School,Low,Single,Student,0,East,Female
10207,Master's Degree,High,Single,Senior Manager,1,Central,Male
10208,Some College,Low,Single,Entry Level,0,Central,Female
10209,High School,Medium,Single,Student,0,North,Female
10210,Master's Degree,Low,Married,Senior Manager,0,North,Female
10211,Bachelor's Degree,Medium,Married,Manager,1,East,Female
10212,Bachelor's Degree,High,Single,Manager,0,East,Male
10213,Master's Degree,Low,Married,Senior Manager,0,East,Male
10214,Bachelor's Degree,High,Married,Manager,1,South,Male
10215,Bachelor's Degree,Low,Divorced,Manager,3,Central,Male
10216,Master's Degree,High,Married,Senior Manager,0,West,Male
10217,Master's Degree,Medium,Married,Senior Manager,3,West,Male
